,1,2,3,4,5,6,7,8,9,10,11,12
A,,,"I1, M4, T5","I2, M4, T5","I3, M4, T5","I4, M4, T5","I5, M4, T5","I6, M4, T5","I7, M4, T5","I8, M4, T5","I9, M4, T5","I10, M4, T5"
B,,,"I1, M5, T1","I2, M5, T1","I3, M5, T1","I4, M5, T1","I5, M5, T1","I6, M5, T1","I7, M5, T1","I8, M5, T1","I9, M5, T1","I10, M5, T1"
C,,,"I1, M5, T2","I2, M5, T2","I3, M5, T2","I4, M5, T2","I5, M5, T2","I6, M5, T2","I7, M5, T2","I8, M5, T2","I9, M5, T2","I10, M5, T2"
D,,,"I1, M5, T3","I2, M5, T3","I3, M5, T3","I4, M5, T3","I5, M5, T3","I6, M5, T3","I7, M5, T3","I8, M5, T3","I9, M5, T3","I10, M5, T3"
E,,,"I1, M5, T4","I2, M5, T4","I3, M5, T4","I4, M5, T4","I5, M5, T4","I6, M5, T4","I7, M5, T4","I8, M5, T4","I9, M5, T4","I10, M5, T4"
F,,,"I1, M5, T5","I2, M5, T5","I3, M5, T5","I4, M5, T5","I5, M5, T5","I6, M5, T5","I7, M5, T5","I8, M5, T5","I9, M5, T5","I10, M5, T5"
G,,,,,,,,,,,,
H,,,,,,,,,,,,
