,1,2,3,4,5,6,7,8,9,10,11,12
A,,,"I1, M1, T4","I2, M1, T4","I3, M1, T4","I4, M1, T4","I5, M1, T4","I6, M1, T4","I7, M1, T4","I8, M1, T4","I9, M1, T4","I10, M1, T4"
B,,,"I1, M1, T5","I2, M1, T5","I3, M1, T5","I4, M1, T5","I5, M1, T5","I6, M1, T5","I7, M1, T5","I8, M1, T5","I9, M1, T5","I10, M1, T5"
C,,,"I1, M2, T1","I2, M2, T1","I3, M2, T1","I4, M2, T1","I5, M2, T1","I6, M2, T1","I7, M2, T1","I8, M2, T1","I9, M2, T1","I10, M2, T1"
D,,,"I1, M2, T2","I2, M2, T2","I3, M2, T2","I4, M2, T2","I5, M2, T2","I6, M2, T2","I7, M2, T2","I8, M2, T2","I9, M2, T2","I10, M2, T2"
E,,,"I1, M2, T3","I2, M2, T3","I3, M2, T3","I4, M2, T3","I5, M2, T3","I6, M2, T3","I7, M2, T3","I8, M2, T3","I9, M2, T3","I10, M2, T3"
F,,,"I1, M2, T4","I2, M2, T4","I3, M2, T4","I4, M2, T4","I5, M2, T4","I6, M2, T4","I7, M2, T4","I8, M2, T4","I9, M2, T4","I10, M2, T4"
G,,,"I1, M2, T5","I2, M2, T5","I3, M2, T5","I4, M2, T5","I5, M2, T5","I6, M2, T5","I7, M2, T5","I8, M2, T5","I9, M2, T5","I10, M2, T5"
H,,,"I1, M3, T1","I2, M3, T1","I3, M3, T1","I4, M3, T1","I5, M3, T1","I6, M3, T1","I7, M3, T1","I8, M3, T1","I9, M3, T1","I10, M3, T1"
